date,close
16-Dec-11,8000
15-Jan-12,9500
19-Jan-12,12249
24-Jan-12,12386
27-Jan-12,18676
31-Jan-12,18861
10-Feb-12,18704
14-Feb-12,19654
17-Feb-12,20043
24-Feb-12,20437
29-Feb-12,21767
1-Mar-12,21959
2-Mar-12,22101
7-Mar-12,22131
15-Mar-12,23317
16-Mar-12,24142
22-Mar-12,25334
29-Mar-12,25830
31-Mar-12,26628
16-Apr-12,29599
18-Apr-12,45011
20-Apr-12,45183
21-Apr-12,45183
23-Apr-12,46589
24-Apr-12,46959
25-Apr-12,54978
26-Apr-12,55754
27-Apr-12,56116
30-Apr-12,58670
1-May-12,58754
2-May-12,59350
3-May-12,59841
6-May-12,60167
7-May-12,60410
8-May-12,60736
9-May-12,61291
11-May-12,62133
14-May-12,63354
16-May-12,64551
17-May-12,65445
20-May-12,66410
21-May-12,66667
23-May-12,67539
24-May-12,68311
27-May-12,69004
28-May-12,69410
29-May-12,69860
30-May-12,70206
31-May-12,71749
1-Jun-12,73630
4-Jun-12,75444
5-Jun-12,76445
6-Jun-12,76778
7-Jun-12,78579
10-Jun-12,79360
11-Jun-12,79754
12-Jun-12,80878
14-Jun-12,82904
21-Jun-12,87269
22-Jun-12,91998
24-Jun-12,92358
25-Jun-12,92814
26-Jun-12,94497
27-Jun-12,95991
29-Jun-12,97378
30-Jun-12,98302
3-Jul-12,99892
4-Jul-12,101912
5-Jul-12,103474
6-Jul-12,104196
10-Jul-12,106691
11-Jul-12,106945
12-Jul-12,110879
14-Jul-12,111268
15-Jul-12,111268
16-Jul-12,111847
18-Jul-12,115014
19-Jul-12,115014
20-Jul-12,122304
22-Jul-12,122541
23-Jul-12,123246
24-Jul-12,124421
25-Jul-12,126380
26-Jul-12,126657
29-Jul-12,126881
30-Jul-12,128081
31-Jul-12,129857
1-Aug-12,130780
2-Aug-12,130613
3-Aug-12,130820
6-Aug-12,131307
7-Aug-12,133843
8-Aug-12,137106
9-Aug-12,138410
10-Aug-12,142658
14-Aug-12,153028
15-Aug-12,158201
16-Aug-12,158716
17-Aug-12,159677
21-Aug-12,160616
22-Aug-12,169949
23-Aug-12,175573
24-Aug-12,175893
25-Aug-12,181057
26-Aug-12,181535
27-Aug-12,186735
28-Aug-12,187956
29-Aug-12,190154
30-Aug-12,193513
31-Aug-12,199471
2-Sep-12,200063
3-Sep-12,205027
4-Sep-12,206353
5-Sep-12,208140
6-Sep-12,208665
7-Sep-12,211932
9-Sep-12,212456
10-Sep-12,212882
11-Sep-12,213671
12-Sep-12,218087
13-Sep-12,219925
14-Sep-12,220712
16-Sep-12,222165
17-Sep-12,223258
18-Sep-12,225100
19-Sep-12,226414
20-Sep-12,231575
21-Sep-12,235539
23-Sep-12,235821
24-Sep-12,237653
25-Sep-12,238835
26-Sep-12,241177
27-Sep-12,246131
28-Sep-12,250791
30-Sep-12,251406
1-Oct-12,252758
2-Oct-12,254278
3-Oct-12,255582
4-Oct-12,262423
5-Oct-12,265360
8-Oct-12,269182
9-Oct-12,270051
10-Oct-12,272634
11-Oct-12,273733
12-Oct-12,277258
15-Oct-12,277729
16-Oct-12,281418
17-Oct-12,283003
18-Oct-12,288258
19-Oct-12,290151
21-Oct-12,290453
22-Oct-12,292161
23-Oct-12,295606
24-Oct-12,299121
25-Oct-12,299818
29-Oct-12,300720
30-Oct-12,301867
31-Oct-12,305317
1-Nov-12,306555
2-Nov-12,314180
4-Nov-12,314137
5-Nov-12,320225
6-Nov-12,322597
7-Nov-12,326025
8-Nov-12,327763
9-Nov-12,328682
11-Nov-12,328547
12-Nov-12,357545
13-Nov-12,359273
14-Nov-12,364020
15-Nov-12,364047
16-Nov-12,365585
17-Nov-12,365623
18-Nov-12,371645
19-Nov-12,379626
20-Nov-12,380895
21-Nov-12,385224
22-Nov-12,387675
23-Nov-12,389020
24-Nov-12,389343
25-Nov-12,389562
26-Nov-12,396760
27-Nov-12,399149
28-Nov-12,403490
29-Nov-12,405890
30-Nov-12,407070
1-Dec-12,407100
2-Dec-12,409598
3-Dec-12,411428
4-Dec-12,414407
5-Dec-12,416984
6-Dec-12,430804
7-Dec-12,431979
8-Dec-12,432790
9-Dec-12,434299
10-Dec-12,437433
11-Dec-12,442279
12-Dec-12,444808
13-Dec-12,448013
14-Dec-12,450328
16-Dec-12,452826
17-Dec-12,457653
18-Dec-12,459948
19-Dec-12,463236
20-Dec-12,475552
21-Dec-12,478399
22-Dec-12,478674
23-Dec-12,480467
24-Dec-12,483915
25-Dec-12,483939
26-Dec-12,485922
27-Dec-12,490581
28-Dec-12,493423
29-Dec-12,494818
30-Dec-12,495781
31-Dec-12,497965
1-Jan-13,501651
2-Jan-13,506097
3-Jan-13,507962
4-Jan-13,509402
5-Jan-13,509575
6-Jan-13,518511
7-Jan-13,520371
8-Jan-13,524999
9-Jan-13,525911
10-Jan-13,527958
11-Jan-13,529308
12-Jan-13,529307
13-Jan-13,530278
14-Jan-13,537001
15-Jan-13,544093
16-Jan-13,550126
17-Jan-13,553814
18-Jan-13,557290
20-Jan-13,563875
21-Jan-13,570119
22-Jan-13,577662
23-Jan-13,583877
24-Jan-13,583866
25-Jan-13,585584
26-Jan-13,585604
27-Jan-13,596813
28-Jan-13,612306
29-Jan-13,618055
30-Jan-13,625347
31-Jan-13,630755
1-Feb-13,632020
2-Feb-13,632252
3-Feb-13,637688
4-Feb-13,650198
5-Feb-13,655841
6-Feb-13,668411
7-Feb-13,674516
8-Feb-13,676903
9-Feb-13,677996
10-Feb-13,686181
11-Feb-13,691683
12-Feb-13,697826
13-Feb-13,703785
14-Feb-13,707998
15-Feb-13,711447
16-Feb-13,712132
17-Feb-13,726447
18-Feb-13,731754
19-Feb-13,737866
20-Feb-13,744264
21-Feb-13,753780
22-Feb-13,756059
24-Feb-13,756157
25-Feb-13,763533
26-Feb-13,766249
27-Feb-13,770754
28-Feb-13,772377
1-Mar-13,774581
3-Mar-13,777592
4-Mar-13,779499
